e2	f	alpha	delta	num	den	factor	n_bits	CHECK
-149	-45	28421709430404007434844970703125	20282409603651670423947251286016	28892438	221422954906910233016114	197215226305253	47	1
-148	-45	28421709430404007434844970703125	10141204801825835211973625643008	28892438	221422954906910233016114	197215226305253	46	1
-147	-45	28421709430404007434844970703125	5070602400912917605986812821504	28892438	221422954906910233016114	197215226305253	45	1
-146	-44	5684341886080801486968994140625	5070602400912917605986812821504	21891283	103753358372798071097533	1262177448353619	50	1
-145	-44	5684341886080801486968994140625	2535301200456458802993406410752	25169906	3479059540328522705262	40389678347315805	54	1
-144	-44	5684341886080801486968994140625	1267650600228229401496703205376	25169906	3479059540328522705262	40389678347315805	53	1
-143	-44	5684341886080801486968994140625	633825300114114700748351602688	25169906	3479059540328522705262	40389678347315805	52	1
-142	-43	1136868377216160297393798828125	633825300114114700748351602688	31197613	41153437395086376168487	63108872417681	45	1
-141	-43	1136868377216160297393798828125	316912650057057350374175801344	31197613	41153437395086376168487	63108872417681	44	1
-140	-43	1136868377216160297393798828125	158456325028528675187087900672	33180560	38690068168528743992496	63108872417681	43	1
-139	-42	227373675443232059478759765625	158456325028528675187087900672	25248772	9708709014951854539292	807793566946317	49	1
-138	-42	227373675443232059478759765625	79228162514264337593543950336	22539121	2390985280918295093655	3231174267785265	50	1
-137	-42	227373675443232059478759765625	39614081257132168796771975168	22539121	2390985280918295093655	3231174267785265	49	1
-136	-41	45474735088646411895751953125	39614081257132168796771975168	22539121	478197056183659018731	646234853557053	49	1
-135	-41	45474735088646411895751953125	19807040628566084398385987584	22539121	478197056183659018731	646234853557053	48	1
-134	-41	45474735088646411895751953125	9903520314283042199192993792	22539121	478197056183659018731	646234853557053	47	1
-133	-41	45474735088646411895751953125	4951760157141521099596496896	32680951	473673059581200451085	646234853557053	46	1
-132	-40	9094947017729282379150390625	4951760157141521099596496896	32680951	94734611916240090217	4135903062765139	51	1
-131	-40	9094947017729282379150390625	2475880078570760549798248448	32680951	94734611916240090217	4135903062765139	50	1
-130	-40	9094947017729282379150390625	1237940039285380274899124224	29017763	46236306807505403197	4135903062765139	49	1
-129	-39	1818989403545856475830078125	1237940039285380274899124224	18315940	48498305108734687020	206795153138257	47	1
-128	-39	1818989403545856475830078125	618970019642690137449562112	18315940	48498305108734687020	206795153138257	46	1
-127	-39	1818989403545856475830078125	309485009821345068724781056	18315940	48498305108734687020	206795153138257	45	1
-126	-38	363797880709171295166015625	309485009821345068724781056	18315940	9699661021746937404	661744490042423	49	1
-125	-38	363797880709171295166015625	154742504910672534362390528	18315940	9699661021746937404	661744490042423	48	1
-124	-38	363797880709171295166015625	77371252455336267181195264	18315940	9699661021746937404	661744490042423	47	1
-123	-38	363797880709171295166015625	38685626227668133590597632	19624272	1944005128204573744	2646977960169689	48	1
-122	-37	72759576141834259033203125	38685626227668133590597632	24203257	873784076728261619	2117582368135751	50	1
-121	-37	72759576141834259033203125	19342813113834066795298816	24857423	98218487374025253	16940658945086007	52	1
-120	-37	72759576141834259033203125	9671406556917033397649408	24857423	98218487374025253	16940658945086007	51	1
-119	-36	14551915228366851806640625	9671406556917033397649408	23549091	329869933216499597	847032947254301	49	1
-118	-36	14551915228366851806640625	4835703278458516698824704	23549091	329869933216499597	847032947254301	48	1
-117	-36	14551915228366851806640625	2417851639229258349412352	30662925	121500320512785859	1694065894508601	48	1
-116	-35	2910383045673370361328125	2417851639229258349412352	21913676	143530545578723556	677626357803441	49	1
-115	-35	2910383045673370361328125	1208925819614629174706176	21913676	143530545578723556	677626357803441	48	1
-114	-35	2910383045673370361328125	604462909807314587353088	17109921	1731551416092899	21684043449710089	52	1
-113	-35	2910383045673370361328125	302231454903657293676544	17109921	1731551416092899	21684043449710089	51	1
-112	-34	582076609134674072265625	302231454903657293676544	33207846	32467527896822090	542101086242753	48	1
-111	-34	582076609134674072265625	151115727451828646838272	28235425	9403546952693447	1084202172485505	48	1
-110	-34	582076609134674072265625	75557863725914323419136	17025588	2994219227417324	2168404344971009	48	1
-109	-33	116415321826934814453125	75557863725914323419136	33207846	6493505579364418	216840434497101	47	1
-108	-33	116415321826934814453125	37778931862957161709568	19722631	1581287467796957	216840434497101	46	1
-107	-33	116415321826934814453125	18889465931478580854784	21281985	748554806854331	3469446951953615	49	1
-106	-32	23283064365386962890625	18889465931478580854784	30089138	1631794180249934	173472347597681	47	1
-105	-32	23283064365386962890625	9444732965739290427392	18942954	399530759653654	693889390390723	48	1
-104	-32	23283064365386962890625	4722366482869645213696	32312816	182929809009168	693889390390723	47	1
-103	-32	23283064365386962890625	2361183241434822606848	32312816	182929809009168	693889390390723	46	1
-102	-31	4656612873077392578125	2361183241434822606848	19505822	431292197208698	138777878078145	46	1
-101	-31	4656612873077392578125	1180591620717411303424	19505822	431292197208698	138777878078145	45	1
-100	-31	4656612873077392578125	590295810358705651712	20195510	22866226126146	4440892098500627	49	1
-99	-30	931322574615478515625	590295810358705651712	22982056	16895879431192	1776356839400251	50	1
-98	-30	931322574615478515625	295147905179352825856	22982056	16895879431192	1776356839400251	49	1
-97	-30	931322574615478515625	147573952589676412928	17236542	12671909573394	1776356839400251	48	1
-96	-29	186264514923095703125	147573952589676412928	28727570	4223969857798	1421085471520201	50	1
-95	-29	186264514923095703125	73786976294838206464	28727570	4223969857798	1421085471520201	49	1
-94	-29	186264514923095703125	36893488147419103232	29553523	1776906784977	2842170943040401	49	1
-93	-28	37252902984619140625	36893488147419103232	27075664	1823619200688	568434188608081	49	1
-92	-28	37252902984619140625	18446744073709551616	20306748	1367714400516	568434188608081	48	1
-91	-28	37252902984619140625	9223372036854775808	16922290	1139762000430	568434188608081	47	1
-90	-28	37252902984619140625	4611686018427387904	16922290	1139762000430	568434188608081	46	1
-89	-27	7450580596923828125	4611686018427387904	16922290	227952400086	909494701772929	49	1
-88	-27	7450580596923828125	2305843009213693952	24909974	63029432834	1818989403545857	49	1
-87	-27	7450580596923828125	1152921504606846976	24909974	63029432834	1818989403545857	48	1
-86	-26	1490116119384765625	1152921504606846976	20916132	29098183292	727595761418343	49	1
-85	-26	1490116119384765625	576460752303423488	20916132	29098183292	727595761418343	48	1
-84	-26	1490116119384765625	288230376151711744	20916132	29098183292	727595761418343	47	1
-83	-25	298023223876953125	288230376151711744	26145165	7274545823	1164153218269349	50	1
-82	-25	298023223876953125	144115188075855872	26145165	7274545823	1164153218269349	49	1
-81	-25	298023223876953125	72057594037927936	16875992	1939463112	2328306436538697	49	1
-80	-25	298023223876953125	36028797018963968	16875992	1939463112	2328306436538697	48	1
-79	-24	59604644775390625	36028797018963968	18285894	19207545082	14551915228367	43	1
-78	-24	59604644775390625	18014398509481984	21094990	484865778	3725290298461915	50	1
-77	-24	59604644775390625	9007199254740992	21094990	484865778	3725290298461915	49	1
-76	-23	11920928955078125	9007199254740992	22757344	446201248	23283064365387	44	1
-75	-23	11920928955078125	4503599627370496	17068008	334650936	23283064365387	43	1
-74	-23	11920928955078125	2251799813685248	17068008	334650936	23283064365387	42	1
-73	-22	2384185791015625	2251799813685248	28446680	111550312	596046447753907	49	1
-72	-22	2384185791015625	1125899906842624	21335010	83662734	596046447753907	48	1
-71	-22	2384185791015625	562949953421312	21335010	83662734	596046447753907	47	1
-70	-22	2384185791015625	281474976710656	22457319	8905121	9536743164062501	50	1
-69	-21	476837158203125	281474976710656	26013154	4569782	3814697265625001	51	1
-68	-21	476837158203125	140737488355328	26013154	4569782	3814697265625001	50	1
-67	-21	476837158203125	70368744177664	26013154	4569782	3814697265625001	49	1
-66	-20	95367431640625	70368744177664	30785752	3245736	1525878906250001	50	1
-65	-20	95367431640625	35184372088832	23089314	2434302	1525878906250001	49	1
-64	-20	95367431640625	17592186044416	23089314	2434302	1525878906250001	48	1
-63	-19	19073486328125	17592186044416	19241095	405717	1220703125000001	50	1
-62	-19	19073486328125	8796093022208	26744114	106774	4882812500000001	51	1
-61	-19	19073486328125	4398046511104	26744114	106774	4882812500000001	50	1
-60	-19	19073486328125	2199023255552	26744114	106774	4882812500000001	49	1
-59	-18	3814697265625	2199023255552	17607114	211398	488281250000001	48	1
-58	-18	3814697265625	1099511627776	31962883	9077	15625000000000001	52	1
-57	-18	3814697265625	549755813888	31962883	9077	15625000000000001	51	1
-56	-17	762939453125	549755813888	17448701	4431	3125000000000001	51	1
-55	-17	762939453125	274877906944	17448701	4431	3125000000000001	50	1
-54	-17	762939453125	137438953472	17448701	4431	3125000000000001	49	1
-53	-16	152587890625	137438953472	30733243	11013	625000000000001	49	1
