E2	F	5^F	E	2^E	Q	R	M	T	U	K	CHECK
37	11	48828125	25	33554432	0	33554432	21128761	2	12379400392853802	54	1
38	11	48828125	26	67108864	1	18280739	21128761	4	6744402276225621	54	1
39	11	48828125	27	134217728	2	36561478	21128761	8	13488804552451242	54	1
40	12	244140625	27	134217728	0	134217728	28230721	13	9903520314283042	54	1
41	12	244140625	28	268435456	1	24294831	31427463	3	1792642119084100	54	1
42	12	244140625	29	536870912	2	48589662	31427463	6	3585284238168200	54	1
43	12	244140625	30	1073741824	4	97179324	31427463	12	7170568476336401	54	1
44	13	1220703125	30	1073741824	0	1073741824	25390367	33	15845632502852867	54	1
45	13	1220703125	31	2147483648	1	926780523	25390367	66	13676866496223751	54	1
46	13	1220703125	32	4294967296	3	632857921	32936737	27	9339334482965518	54	1
47	14	6103515625	32	4294967296	0	4294967296	29739995	395	12676506002282294	54	1
48	14	6103515625	33	8589934592	1	2486418967	29739995	790	7338613495082604	54	1
49	14	6103515625	34	17179869184	2	4972837934	32425773	1107	14677226990165208	54	1
50	15	30517578125	34	17179869184	0	17179869184	21682661	2999	10141204801825835	54	1
51	15	30517578125	35	34359738368	1	3842160243	25645849	57	2268011094169686	54	1
52	15	30517578125	36	68719476736	2	7684320486	25645849	114	4536022188339372	54	1
53	15	30517578125	37	137438953472	4	15368640972	25645849	228	9072044376678745	54	1
54	16	152587890625	37	137438953472	0	137438953472	23664255	12110	16225927682921336	54	1
55	16	152587890625	38	274877906944	1	122290016319	17060377	11013	14437456856360688	54	1
56	16	152587890625	39	549755813888	3	91992142013	24214937	4431	10860515203239393	54	1
57	17	762939453125	39	549755813888	0	549755813888	24214937	4431	12980742146337069	54	1
58	17	762939453125	40	1099511627776	1	336572174651	24214937	8862	7947085783192154	54	1
59	17	762939453125	41	2199023255552	2	673144349302	24214937	17724	15894171566384308	54	1
60	18	3814697265625	41	2199023255552	0	2199023255552	25452895	176165	10384593717069655	54	1
61	18	3814697265625	42	4398046511104	1	583349245479	25452895	352330	2754788924657326	54	1
62	18	3814697265625	43	8796093022208	2	1166698490958	25452895	704660	5509577849314653	54	1
63	18	3814697265625	44	17592186044416	4	2333396981916	20861237	405717	11019155698629306	54	1
64	19	19073486328125	44	17592186044416	0	17592186044416	20861237	405717	16615349947311448	54	1
65	19	19073486328125	45	35184372088832	1	16110885760707	20861237	811434	15216301385140912	54	1
66	19	19073486328125	46	70368744177664	3	13148285193289	30143941	1430699	12418204260799841	54	1
67	20	95367431640625	46	70368744177664	0	70368744177664	20861237	1622868	13292279957849158	54	1
68	20	95367431640625	47	140737488355328	1	45370056714703	20861237	3245736	8570161406216333	54	1
69	20	95367431640625	48	281474976710656	2	90740113429406	32464617	5530627	17140322812432666	54	1
70	21	476837158203125	48	281474976710656	0	281474976710656	18391479	56009599	10633823966279326	54	1
71	21	476837158203125	49	562949953421312	1	86112795218187	17280835	79327395	3253249423076669	54	1
72	21	476837158203125	50	1125899906842624	2	172225590436374	17280835	158654790	6506498846153339	54	1
73	21	476837158203125	51	2251799813685248	4	344451180872748	29286111	13474903	13012997692306679	54	1
74	22	2384185791015625	51	2251799813685248	0	2251799813685248	31507399	275009327	17014118346046923	54	1
75	22	2384185791015625	52	4503599627370496	1	2119413836354871	23283473	330784483	16013838182611862	54	1
76	22	2384185791015625	53	9007199254740992	3	1854641881694117	26007131	226967077	14013277855741740	54	1
77	23	11920928955078125	53	9007199254740992	0	9007199254740992	20559815	1096170855	13611294676837538	54	1
78	23	11920928955078125	54	18014398509481984	1	6093469554403859	17809681	1319271479	9208190844193093	54	1
79	23	11920928955078125	55	36028797018963968	3	266010153729593	28744027	911734761	401983178904202	54	1
80	24	59604644775390625	55	36028797018963968	0	36028797018963968	17875871	11349913003	10889035741470030	54	1
81	24	59604644775390625	56	72057594037927936	1	12452949262537311	17875871	22699826006	3763672973458077	54	1
82	24	59604644775390625	57	144115188075855872	2	24905898525074622	18480667	3588942249	7527345946916155	54	1
83	24	59604644775390625	58	288230376151711744	4	49811797050149244	27033467	7274545823	15054691893832310	54	1
84	25	298023223876953125	58	288230376151711744	0	288230376151711744	27033467	7274545823	17422457186352049	54	1
85	25	298023223876953125	59	576460752303423488	1	278437528426470363	27033467	14549091646	16830515863222114	54	1
86	25	298023223876953125	60	1152921504606846976	3	258851832975987601	27033467	29098183292	15646633216962245	54	1
87	26	1490116119384765625	60	1152921504606846976	0	1152921504606846976	27033467	29098183292	13937965749081639	54	1
88	26	1490116119384765625	61	2305843009213693952	1	815726889828928327	27033467	58196366584	9861532988681294	54	1
89	26	1490116119384765625	62	4611686018427387904	3	141337660273091029	27033467	116392733168	1708667467880605	54	1
90	27	7450580596923828125	62	4611686018427387904	0	4611686018427387904	28869269	785750734676	11150372599265311	54	1
91	27	7450580596923828125	63	9223372036854775808	1	1772791439930947683	33409375	12082665625	4286346689048639	54	1
92	27	7450580596923828125	64	####################	2	3545582879861895366	33409375	24165331250	8572693378097278	54	1
93	27	7450580596923828125	65	####################	4	7091165759723790732	33409375	48330662500	17145386756194556	54	1
94	28	####################	65	####################	0	####################	23169437	4270682273509	17840596158824498	54	1
95	28	####################	66	####################	1	####################	18419577	5182491873853	17666793808167013	54	1
96	28	####################	67	####################	3	####################	18419577	10364983747706	17319189106852042	54	1
97	29	####################	67	####################	0	####################	27919297	23800474440366	14272476927059598	54	1
98	29	####################	68	####################	1	####################	26151969	11230080932339	10530555344637213	54	1
99	29	####################	69	####################	3	####################	26151969	22460161864678	3046712179792443	54	1
100	30	####################	69	####################	0	####################	29686625	167943633658250	11417981541647679	54	1
101	30	####################	70	####################	1	####################	27477465	154032927574535	4821564573813374	54	1
102	30	####################	71	####################	2	####################	26372885	126211515407105	9643129147626748	54	1
103	31	####################	71	####################	0	####################	27477465	308065855149070	9134385233318143	54	1
104	31	####################	72	####################	1	####################	27477465	616131710298140	254371957154302	54	1
105	31	####################	73	####################	2	####################	20601247	76539037767199	508743914308604	54	1
106	31	####################	74	####################	4	####################	20601247	153078075534398	1017487828617209	54	1
107	32	####################	74	####################	0	####################	18543863	815897090124967	14615016373309029	54	1
