"algorithm";"binary";"decimal";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
amaru;8388608*2^-149;11754944*10^-45;8.62328046281168e-09;0.00689278185808776;93.000097059894;11;2e-05;0.00494771
dragonbox;8388608*2^-149;11754944*10^-45;6.01529316695607e-09;1.0932161880675e-05;73.0000629578755;7;5.86376136836735e-06;0.005446457
amaru;8388608*2^-148;23509887*10^-45;6.67740390824312e-09;2.91095634237695e-07;75.0000717449012;11;6.52226374730141e-06;0.004915268
dragonbox;8388608*2^-148;23509887*10^-45;6.00727840186261e-09;5.53638742436639e-06;73.0000629570947;7;5.84009811364831e-06;0.005436407
amaru;8388608*2^-147;47019774*10^-45;6.68356807404867e-09;0.00744092700247383;75.0000719815204;11;6.58033270162139e-06;0.004896013
dragonbox;8388608*2^-147;47019774*10^-45;6.01648287485963e-09;0.0113816543580307;73.0000636404661;7;5.78549691633014e-06;0.005500266
amaru;8388608*2^-146;9403955*10^-44;6.625316968382e-09;0.00534380549164258;75.0000696074771;11;1.16287858966085e-05;0.005406169
dragonbox;8388608*2^-146;9403955*10^-44;6.03982780676749e-09;0.00381440559815687;73.0000633622303;7;1.06846168229292e-05;0.00543247
amaru;8388608*2^-145;1880791*10^-43;6.56577407989459e-09;0.00614461037606359;71.0000722999264;10;1.16518203056272e-05;0.00482015
dragonbox;8388608*2^-145;1880791*10^-43;6.19188145796174e-09;0.0365319284366709;73.0000651384463;7;6.17417343253172e-06;0.005379562
amaru;8388608*2^-144;3761582*10^-43;6.43402347409098e-09;0.00644229387663005;71.0000664227142;10;6.11478677738507e-06;0.0055226
dragonbox;8388608*2^-144;3761582*10^-43;6.21652293861715e-09;0.0088914745937758;73.0000667831662;7;6.23569687030374e-06;0.005333073
amaru;8388608*2^-143;7523164*10^-43;6.50315035950634e-09;0.00609396477187623;71.0000666436443;10;6.23445283324709e-06;0.005555982
dragonbox;8388608*2^-143;7523164*10^-43;6.11242405166777e-09;4.37927307184064e-06;73.0000639144399;7;5.99376648285783e-06;0.005450021
amaru;8388608*2^-142;15046328*10^-43;6.5346351289125e-09;0.000251911628505177;75.0000685824018;11;6.35138396656631e-06;0.005442618
dragonbox;8388608*2^-142;15046328*10^-43;5.65090006948588e-09;0.00632301178204176;73.0000596270329;7;5.56099297090488e-06;0.005398175
amaru;8388608*2^-141;30092655*10^-43;6.36244700966011e-09;0.00567109948794327;75.000064997991;11;1.06992494476512e-05;0.005549149
dragonbox;8388608*2^-141;30092655*10^-43;5.64632649602971e-09;0.00374060104259485;73.0000589188393;7;5.46054212262193e-06;0.005463218
amaru;8388608*2^-140;6018531*10^-42;6.27791343407971e-09;6.76536429570668e-06;71.0000657519835;10;6.0994577582053e-06;0.005435345
dragonbox;8388608*2^-140;6018531*10^-42;6.06075844682504e-09;1.15477009137534e-05;73.0000635007991;7;5.89063448023987e-06;0.005438841
amaru;8388608*2^-139;12037062*10^-42;6.51380105192313e-09;0.0118977962906269;75.0000685046677;11;1.15626987338845e-05;0.005393678
dragonbox;8388608*2^-139;12037062*10^-42;5.68896771271287e-09;0.00322036724208711;73.0000610060451;7;5.54600410404304e-06;0.0053687
amaru;8388608*2^-138;24074124*10^-42;6.23418544578673e-09;0.00632555619857941;75.0000671685993;11;1.09216209869869e-05;0.005394919
dragonbox;8388608*2^-138;24074124*10^-42;5.54864062959136e-09;0.00881784591928571;73.0000595386297;7;5.41260270413631e-06;0.005418283
amaru;8388608*2^-137;4814825*10^-41;6.24129863690315e-09;0.026163964331847;71.0000660581312;10;6.00528465049243e-06;0.005572824
dragonbox;8388608*2^-137;4814825*10^-41;6.11824883611301e-09;0.0110376450494068;73.0000643052982;7;1.02014271796624e-05;0.0055228
amaru;8388608*2^-136;962965*10^-40;6.65291965523568e-09;0.0032048972877823;71.0000709096418;10;6.44633107067113e-06;0.00546428
dragonbox;8388608*2^-136;962965*10^-40;6.38984700963832e-09;0.00258884241871527;75.0000685785536;7;6.23441396508728e-06;0.005438741
amaru;8388608*2^-135;192593*10^-39;7.16054748154594e-09;1.38867250039993e-05;79.0000817199322;12;1e-05;0.004965765
dragonbox;8388608*2^-135;192593*10^-39;6.39109180732211e-09;5.49265791704401e-05;75.000066879465;7;6.22944283863251e-06;0.005447418
amaru;8388608*2^-134;385186*10^-39;7.14928778703722e-09;1.1880376862709e-05;79.0000767974084;12;6.9815825851404e-06;0.004960945
dragonbox;8388608*2^-134;385186*10^-39;6.38175281938462e-09;2.98750484430546e-05;75.0000668832942;7;6.20435918276181e-06;0.005438821
amaru;8388608*2^-133;770372*10^-39;7.15372054980211e-09;0.00338418633966252;79.0000765339846;12;7.0249878818959e-06;0.004955375
dragonbox;8388608*2^-133;770372*10^-39;6.41405405596816e-09;0.00261718376900584;75.0000684441403;7;6.22219456802414e-06;0.005467515
amaru;8388608*2^-132;1540744*10^-39;6.57365595819699e-09;0.0046761771592404;71.0000705757053;10;6.41597320689589e-06;0.005429374
dragonbox;8388608*2^-132;1540744*10^-39;6.3205045821455e-09;0.0110691770310964;73.0000681380353;7;6.19436684279316e-06;0.005422271
amaru;8388608*2^-131;3081488*10^-39;6.56093158517991e-09;0.0129884418791566;71.0000743669513;10;1e-05;0.004853412
dragonbox;8388608*2^-131;3081488*10^-39;6.05220054064964e-09;0.0124586472269644;73.0000636527108;7;6.03729842969868e-06;0.005432571
amaru;8388608*2^-130;6162976*10^-39;6.46971107919714e-09;0.0328760688237743;71.0000657269702;10;1.20188696253117e-05;0.005661029
dragonbox;8388608*2^-130;6162976*10^-39;6.00269493532194e-09;0.00678413276683811;73.0000620224972;7;5.65831687706175e-06;0.005552114
amaru;8388608*2^-129;12325952*10^-39;6.74703310570655e-09;0.0322774780607531;75.0000730707657;11;6.6427968831997e-06;0.004923704
dragonbox;8388608*2^-129;12325952*10^-39;5.8647861811345e-09;0.000878555686838935;73.0000624968041;7;5.6815276491543e-06;0.005466023
amaru;8388608*2^-128;24651903*10^-39;6.71252209615597e-09;0.0127699569785459;75.0000710186004;11;3.17908416943247e-05;0.005525494
dragonbox;8388608*2^-128;24651903*10^-39;5.97146537604408e-09;0.00112079537025336;73.0000637378174;7;5.79434703503262e-06;0.005459821
amaru;8388608*2^-127;49303807*10^-39;7.01549913336792e-09;0.0025889430343749;82.000077190274;14;1.38571329591907e-05;0.004893709
dragonbox;8388608*2^-127;49303807*10^-39;5.95602187493134e-09;0.0121485922539508;73.0000625518896;7;5.78529609145396e-06;0.005429685
amaru;8388608*2^-126;98607613*10^-39;6.61378513762508e-09;0.0042176206974379;73.0000695625779;9;6.47048166265497e-06;0.005418273
dragonbox;8388608*2^-126;98607613*10^-39;5.78908157941579e-09;0.0139433196396003;73.0000609121315;7;5.63504093857242e-06;0.005404398
amaru;8388608*2^-125;19721523*10^-38;6.59011989470822e-09;0.0165618973160136;75.0000788462641;11;1e-05;0.004701467
dragonbox;8388608*2^-125;19721523*10^-38;5.511613490143e-09;0.00730978180131709;73.0000580242735;7;5.43112250439921e-06;0.005379552
amaru;8388608*2^-124;39443045*10^-38;6.05907849321159e-09;0.00273417045233609;75.0000647070242;11;1.05544238867721e-05;0.005457477
dragonbox;8388608*2^-124;39443045*10^-38;5.6902483167853e-09;0.00422177413215307;73.0000593030277;7;5.39118433537479e-06;0.005601305
amaru;8388608*2^-123;7888609*10^-37;6.3297663966268e-09;0.00549209483933385;71.0000671571171;10;6.1051924661925e-06;0.005486211
dragonbox;8388608*2^-123;7888609*10^-37;6.22040351556761e-09;0.00463247571134109;73.0000663014062;7;6.02740056295921e-06;0.005473828
amaru;8388608*2^-122;15777218*10^-37;6.65018102314845e-09;0.00131708685011887;75.000071134794;11;1.16059097292341e-05;0.005455433
dragonbox;8388608*2^-122;15777218*10^-37;6.01219305451267e-09;1.30028450350409e-05;73.0000644631974;7;5.86029067041725e-06;0.005441005
amaru;8388608*2^-121;31554436*10^-37;6.6534052558058e-09;0.000391827172472517;75.0000713294513;11;1.163169403992e-05;0.005441397
dragonbox;8388608*2^-121;31554436*10^-37;6.01043179694691e-09;1.02131387730205e-05;73.0000642744871;7;5.84313519261895e-06;0.005445614
amaru;8388608*2^-120;63108872*10^-37;6.63821668603605e-09;0.00671019266303719;75.0000723503335;11;1.16748098465346e-05;0.005407811
dragonbox;8388608*2^-120;63108872*10^-37;5.90565970342792e-09;0.00662319566757179;73.0000638313923;7;5.80285384352024e-06;0.00541694
amaru;8388608*2^-119;12621775*10^-36;6.56701095581405e-09;0.00648752685573637;75.0000712638317;11;6.47853015107932e-06;0.005408113
dragonbox;8388608*2^-119;12621775*10^-36;5.66196843617121e-09;0.0107568181803816;73.000061544659;7;5.59496900387172e-06;0.005344216
amaru;8388608*2^-118;2524355*10^-35;6.085791788218e-09;0.00773649149468966;71.000065916813;10;5.9924375438197e-06;0.005411953
dragonbox;8388608*2^-118;2524355*10^-35;6.06067847845689e-09;0.0252184907211958;73.0000618502213;7;5.62274738682815e-06;0.005553237
amaru;8388608*2^-117;504871*10^-34;6.94706438361674e-09;0.00575463667935296;79.0000789354242;12;1e-05;0.004987566
dragonbox;8388608*2^-117;504871*10^-34;6.37030537032692e-09;0.0029663665640152;75.0000665589622;7;6.16260653606049e-06;0.005428563
amaru;8388608*2^-116;1009742*10^-34;6.61429324853384e-09;3.71010566004893e-06;71.0000691932694;10;6.42904901506969e-06;0.005446566
dragonbox;8388608*2^-116;1009742*10^-34;6.37836015809599e-09;0.00156601218383511;75.0000667212568;7;6.20447466712993e-06;0.005446267
amaru;8388608*2^-115;2019484*10^-34;6.63787776924278e-09;2.93473253437579e-06;71.0000691945751;10;6.4291316814751e-06;0.005467818
dragonbox;8388608*2^-115;2019484*10^-34;6.34999626903186e-09;0.000440307800994801;73.0000664904669;7;6.19413663026579e-06;0.005447638
amaru;8388608*2^-114;4038968*10^-34;6.64821954591431e-09;0.00295355174788751;71.0000693219057;10;1.26039828585833e-05;0.005464341
dragonbox;8388608*2^-114;4038968*10^-34;6.35112603769555e-09;2.46557023622275e-06;73.0000665052068;7;6.19413663026579e-06;0.005447979
amaru;8388608*2^-113;8077936*10^-34;6.63726087488755e-09;0.000396385158829044;71.0000697889835;10;6.45523616481509e-06;0.005451254
dragonbox;8388608*2^-113;8077936*10^-34;6.30361691139113e-09;0.00833163901860388;73.0000662551486;7;1.20373156786037e-05;0.005421107
amaru;8388608*2^-112;16155871*10^-34;6.44622096549704e-09;0.00352232364878883;75.000067638613;11;1.22979296435445e-05;0.005434283
dragonbox;8388608*2^-112;16155871*10^-34;5.73950896077899e-09;0.00550069663705581;73.0000604588275;7;5.54062664487354e-06;0.005447889
amaru;8388608*2^-111;32311743*10^-34;6.72900314905439e-09;0.0188185514536101;82.0000707946376;14;1.26507014813971e-05;0.004987323
dragonbox;8388608*2^-111;32311743*10^-34;5.64004248603359e-09;0.00173004962541615;73.0000600886034;7;5.46260030699814e-06;0.005462297
amaru;8388608*2^-110;64623485*10^-34;6.40631274761583e-09;0.00626835185507044;75.000067849719;11;1.10477095336209e-05;0.005528779
dragonbox;8388608*2^-110;64623485*10^-34;5.7406142135165e-09;1.31971799589543e-05;73.0000615202206;7;5.59274732526859e-06;0.005441937
amaru;8388608*2^-109;12924697*10^-33;6.36055333659969e-09;7.56319755758227e-06;75.0000682297482;11;1.11141983884412e-05;0.00544281
